station_id,name,num_bicycles_available,last_reported
NBV:Station:4726808,DHBW Mannheim - Campus Coblitzallee,1,2026-05-24 23:52:06+02
NBV:Station:4726822,DHBW Mannheim - Campus Käfertalerstr.,3,2026-05-24 23:52:06+02
NBV:Station:28450596,Schwetzingerstadt - Keplerstraße,9,2026-05-24 23:52:06+02
NBV:Station:344840,Rhein-Galerie,3,2026-05-24 23:52:06+02
NBV:Station:2129321,Kreisverwaltung - Europaplatz,2,2026-05-24 23:52:06+02
NBV:Station:24559100,Neuhermsheim - Dragonerweg,8,2026-05-24 23:52:06+02
NBV:Station:498226541,Turley - Heinrich-Wittkamp-Straße,9,2026-05-24 23:52:06+02
NBV:Station:329695899,LU-Mitte - Benckiser Straße,1,2026-05-24 23:52:06+02
NBV:Station:33776080,Gerd-Dehof-Platz,5,2026-05-24 23:52:06+02
NBV:Station:378596026,Seckenheim - Wasserturm / Kapellenplatz,10,2026-05-24 23:52:06+02
NBV:Station:30612225,Wohlgelegen - Ludolf-Krehl-Straße,6,2026-05-24 23:52:06+02
NBV:Station:339343,Neckarstadt - Alter Messplatz,7,2026-05-24 23:52:06+02
NBV:Station:27230871,Neckarstadt-Ost - Herzogenriedpark,5,2026-05-24 23:52:06+02
NBV:Station:339485,Schwetzingerstadt - Pestalozzischule,4,2026-05-24 23:52:06+02
NBV:Station:5582461,Oststadt Karl-Ludwig-Straße,2,2026-05-24 23:52:06+02
NBV:Station:27231009,Neckarau - Friedrichstraße,12,2026-05-24 23:52:06+02
NBV:Station:378595589,Feudenheim - St. Peter & Paul Kirche,14,2026-05-24 23:52:06+02
NBV:Station:28450544,Schwetzingerstadt - Krappmühlstraße,5,2026-05-24 23:52:06+02
NBV:Station:339472,A5 - Universität West,7,2026-05-24 23:52:06+02
NBV:Station:378595742,Feudenheim - Endstelle / Odenwald Straße,15,2026-05-24 23:52:06+02
NBV:Station:339478,Technische Hochschule Mannheim,4,2026-05-24 23:52:06+02
NBV:Station:28450647,Schwetzingerstadt - Richard-Wagner-Straße,8,2026-05-24 23:52:06+02
NBV:Station:339476,Jungbusch - Jungbuschstraße,8,2026-05-24 23:52:06+02
NBV:Station:339346,Neckarstadt-Ost - Lange Rötterstraße,3,2026-05-24 23:52:06+02
NBV:Station:30612240,Neckarstadt-West – Marchivum,9,2026-05-24 23:52:06+02
NBV:Station:364019650,Lindenhofplatz / HBF Süd,14,2026-05-24 23:52:06+02
NBV:Station:3938985,Pfalzgrafenplatz,4,2026-05-24 23:52:06+02
NBV:Station:33282192,G1 – Marktplatz,4,2026-05-24 23:52:06+02
NBV:Station:30612231,Neckarstadt-West – Gartenfeldstraße,5,2026-05-24 23:52:06+02
NBV:Station:339354,K1 - Kurpfalzbrücke,11,2026-05-24 23:52:06+02
NBV:Station:393329858,Franklin - Wasserwerkstraße,3,2026-05-24 23:52:06+02
NBV:Station:260511632,Waldhof -  Waldstraße / Hermann-Gutzmann-Schule,5,2026-05-24 23:52:06+02
NBV:Station:339475,Hauptbahnhof Mannheim,1,2026-05-24 23:52:06+02
NBV:Station:33282192,G1 – Marktplatz,5,2026-05-24 23:23:16+02
NBV:Station:28450647,Schwetzingerstadt - Richard-Wagner-Straße,8,2026-05-24 23:23:16+02
NBV:Station:339476,Jungbusch - Jungbuschstraße,11,2026-05-24 23:23:16+02
NBV:Station:339478,Technische Hochschule Mannheim,2,2026-05-24 23:23:16+02
NBV:Station:339346,Neckarstadt-Ost - Lange Rötterstraße,2,2026-05-24 23:23:16+02
NBV:Station:364019650,Lindenhofplatz / HBF Süd,15,2026-05-24 23:23:16+02
NBV:Station:3938985,Pfalzgrafenplatz,4,2026-05-24 23:23:16+02
NBV:Station:30612240,Neckarstadt-West – Marchivum,9,2026-05-24 23:23:16+02
NBV:Station:7853258,Universitätsklinik Mannheim,1,2026-05-24 23:23:16+02
NBV:Station:30612231,Neckarstadt-West – Gartenfeldstraße,3,2026-05-24 23:23:16+02
NBV:Station:393329858,Franklin - Wasserwerkstraße,3,2026-05-24 23:23:16+02
NBV:Station:339354,K1 - Kurpfalzbrücke,13,2026-05-24 23:23:16+02
NBV:Station:260511632,Waldhof -  Waldstraße / Hermann-Gutzmann-Schule,5,2026-05-24 23:23:16+02
NBV:Station:339475,Hauptbahnhof Mannheim,1,2026-05-24 23:23:16+02
NBV:Station:498226541,Turley - Heinrich-Wittkamp-Straße,9,2026-05-24 23:23:16+02
NBV:Station:329695899,LU-Mitte - Benckiser Straße,1,2026-05-24 23:23:16+02
NBV:Station:33776080,Gerd-Dehof-Platz,5,2026-05-24 23:23:16+02
NBV:Station:339343,Neckarstadt - Alter Messplatz,6,2026-05-24 23:23:16+02
NBV:Station:27230871,Neckarstadt-Ost - Herzogenriedpark,5,2026-05-24 23:23:16+02
NBV:Station:339485,Schwetzingerstadt - Pestalozzischule,5,2026-05-24 23:23:16+02
NBV:Station:5582461,Oststadt Karl-Ludwig-Straße,2,2026-05-24 23:23:16+02
NBV:Station:378596026,Seckenheim - Wasserturm / Kapellenplatz,10,2026-05-24 23:23:16+02
NBV:Station:30612225,Wohlgelegen - Ludolf-Krehl-Straße,6,2026-05-24 23:23:16+02
NBV:Station:378595589,Feudenheim - St. Peter & Paul Kirche,14,2026-05-24 23:23:16+02
NBV:Station:27231009,Neckarau - Friedrichstraße,12,2026-05-24 23:23:16+02
NBV:Station:339472,A5 - Universität West,3,2026-05-24 23:23:16+02
NBV:Station:378595742,Feudenheim - Endstelle / Odenwald Straße,15,2026-05-24 23:23:16+02
NBV:Station:28450544,Schwetzingerstadt - Krappmühlstraße,4,2026-05-24 23:23:16+02
NBV:Station:4915747,P7 - Fressgasse,1,2026-05-24 23:23:16+02
NBV:Station:121376,Lindenhof - Jugendherberge,4,2026-05-24 23:23:16+02
NBV:Station:7596144,LU Süd - Bayernplatz,1,2026-05-24 23:23:16+02
NBV:Station:339463,E1 - Paradeplatz,1,2026-05-24 23:23:16+02
NBV:Station:450006188,Käfertal - Spinelli / Völklinger Achse,3,2026-05-24 23:23:16+02
NBV:Station:260511828,Waldhof - Taunusplatz,3,2026-05-24 23:23:16+02
NBV:Station:58196168,HBf / Tattersallstraße,17,2026-05-24 23:23:16+02
NBV:Station:29456334,LU-Süd - Halbergstraße,5,2026-05-24 23:23:16+02
NBV:Station:4726808,DHBW Mannheim - Campus Coblitzallee,1,2026-05-24 23:23:16+02
NBV:Station:4726822,DHBW Mannheim - Campus Käfertalerstr.,3,2026-05-24 23:23:16+02
NBV:Station:24559100,Neuhermsheim - Dragonerweg,8,2026-05-24 23:23:16+02
NBV:Station:344840,Rhein-Galerie,2,2026-05-24 23:23:16+02
NBV:Station:28450596,Schwetzingerstadt - Keplerstraße,8,2026-05-24 23:23:16+02
NBV:Station:38930122,Käfertal Mitte,5,2026-05-24 23:23:16+02
NBV:Station:29794323,Turleyplatz,5,2026-05-24 23:23:16+02
NBV:Station:57585948,Roche - Tor 4,4,2026-05-24 23:23:16+02
NBV:Station:11272311,Amtsgericht,3,2026-05-24 23:23:16+02
NBV:Station:28455055,Oststadt - Beethovenstraße,6,2026-05-24 23:23:16+02
NBV:Station:339465,Kunsthalle,4,2026-05-24 23:23:16+02
NBV:Station:339466,G7 - Westliche Unterstadt,8,2026-05-24 23:23:16+02
NBV:Station:34525897,Roche - Tor 1,3,2026-05-24 23:23:16+02
NBV:Station:24559076,Herzogenried - Sandgewann,4,2026-05-24 23:23:16+02
NBV:Station:146888468,Feudenheim- Schelmenbuckel/Talstraße,2,2026-05-24 23:23:16+02
NBV:Station:9214247,Mannheimer Straße,2,2026-05-24 23:23:16+02
NBV:Station:146888993,Oststadt - Unterer Luisenpark,1,2026-05-24 23:23:16+02
NBV:Station:329696289,LU-Hemshof Hartmannstraße / Rohrlachstraße,1,2026-05-24 23:23:16+02
NBV:Station:57585097,S-Bahnhof Waldhof,7,2026-05-24 23:23:16+02
NBV:Station:329696044,LU-Süd - Dürerplatz,1,2026-05-24 23:23:16+02
NBV:Station:38930150,Franklin -  George-Washington-Straße,1,2026-05-24 23:23:16+02
NBV:Station:38930075,Franklin - Bensheimer Straße,5,2026-05-24 23:23:16+02
NBV:Station:339487,N5 - Kapuzinerplanken ,2,2026-05-24 23:23:16+02
NBV:Station:339461,Kongresszentrum Rosengarten,2,2026-05-24 23:23:16+02
NBV:Station:378596121,Seckenheim - Rathaus,1,2026-05-24 23:23:16+02
NBV:Station:344837,Rathaus,1,2026-05-24 23:23:16+02
NBV:Station:660974,MVV Hochhaus,5,2026-05-24 23:23:16+02
NBV:Station:339350,Studentensiedlung Ludwig Frank,11,2026-05-24 23:23:16+02
NBV:Station:344838,Pfalzbau,1,2026-05-24 23:23:16+02
NBV:Station:660978,Neckarstadt-Ost  - Carl-Zuckmayer-Straße,13,2026-05-24 23:23:16+02
NBV:Station:660971,Neckarau - Hans-Sachs-Ring,34,2026-05-24 23:23:16+02
NBV:Station:30612250,U3 – Herschelbad,10,2026-05-24 23:23:16+02
NBV:Station:11272337,Wredestraße,11,2026-05-24 23:23:16+02
NBV:Station:11272269,Schwanthalerplatz,6,2026-05-24 23:23:16+02
NBV:Station:58196617,Lindenhof / NTR,2,2026-05-24 23:23:16+02
NBV:Station:339464,E4 - Rathaus,2,2026-05-24 23:23:16+02
NBV:Station:660999,Hemshof - BASF Süd,2,2026-05-24 23:23:16+02
NBV:Station:28450242,Lindenhof - Hanns-Glückstein-Park ,7,2026-05-24 23:23:16+02
NBV:Station:1557693,Lindenhof - Johanniskirche,10,2026-05-24 23:23:16+02
NBV:Station:276163348,Tunnelstraße / Suezkanal,0,2026-05-24 23:23:16+02
NBV:Station:339456,Gewerkschaftshaus,6,2026-05-24 23:23:16+02
NBV:Station:28450681,Neckarstadt-Ost  - Clignetplatz,18,2026-05-24 23:23:16+02
NBV:Station:31471276,R5,7,2026-05-24 23:23:16+02
NBV:Station:33282236,Eastsite,1,2026-05-24 23:23:16+02
NBV:Station:660939,Neckarau - Markuskirche,7,2026-05-24 23:23:16+02
NBV:Station:30612064,Lindenhof - Meeräckerplatz,5,2026-05-24 23:23:16+02
NBV:Station:29964359,Am Plankenkopf,2,2026-05-24 23:23:16+02
NBV:Station:660943,Schwetzingerstadt - rnv Betriebshof Möhlstraße,3,2026-05-24 23:23:16+02
NBV:Station:260511069,Waldhof -  Gartenstadt / Freilichtbühne,1,2026-05-24 23:23:16+02
NBV:Station:661021,LU Süd - Schützenplatz,8,2026-05-24 23:23:16+02
NBV:Station:339459,Nationaltheater,4,2026-05-24 23:23:16+02
NBV:Station:33282690,Niederfeld - Diakonissen-Krankenhaus,2,2026-05-24 23:23:16+02
NBV:Station:30612162,Neuostheim – Dürerstraße,6,2026-05-24 23:23:16+02
NBV:Station:660983,Neckarstadt-West - Riedfeldstraße,3,2026-05-24 23:23:16+02
NBV:Station:30612203,Jungbusch - Beilstraße,4,2026-05-24 23:23:16+02
NBV:Station:339349,Neumarkt,11,2026-05-24 23:23:16+02
NBV:Station:344836,Berliner Platz,15,2026-05-24 23:23:16+02
NBV:Station:378596231,Seckenheim - S-Bahnhof  Seckenheim-Hochstätt,4,2026-05-24 23:23:16+02
NBV:Station:381679124,Jungbusch - Werftstraße,5,2026-05-24 23:23:16+02
NBV:Station:31471648,Almenhof August-Bebel-Park,3,2026-05-24 23:23:16+02
NBV:Station:195402059,Oststadt - Augusta Anlage,3,2026-05-24 23:23:16+02
NBV:Station:4915747,P7 - Fressgasse,1,2026-05-24 22:50:45+02
NBV:Station:121376,Lindenhof - Jugendherberge,5,2026-05-24 22:50:45+02
NBV:Station:7596144,LU Süd - Bayernplatz,1,2026-05-24 22:50:45+02
NBV:Station:29456334,LU-Süd - Halbergstraße,4,2026-05-24 22:50:45+02
