vehicle_id,feed_id,last_reported,geometry
DOG:Vehicle:3d1e120d-73ef-425b-9de8-a84a9990777d,dott_mannheim,2026-05-21 15:27:13+02,POINT (8.472412 49.487213)
DOG:Vehicle:dab8681e-50a0-4e5d-94d7-2f8746787cd2,dott_mannheim,2026-05-21 15:27:19+02,POINT (8.487938 49.476099)
DOG:Vehicle:8fb6e4c3-5cf9-4259-b957-ae1d80e0f38d,dott_mannheim,2026-05-21 15:27:29+02,POINT (8.479399 49.484379)
DOG:Vehicle:dd3a0aa6-e86f-4d16-a13c-99998fe64285,dott_mannheim,2026-05-21 15:27:37+02,POINT (8.477301 49.459119)
DOG:Vehicle:ad7ca4aa-d213-4f9d-adc8-27a9ba7c5a17,dott_mannheim,2026-05-21 15:27:42+02,POINT (8.475506 49.480756)
DOG:Vehicle:909546a7-ab22-40f6-b7ac-3430054e1ae3,dott_mannheim,2026-05-21 15:27:48+02,POINT (8.491206 49.496912)
DOG:Vehicle:df0a0491-7f8f-4dcb-a46a-e9a4be64446a,dott_mannheim,2026-05-21 15:27:52+02,POINT (8.463328 49.502379)
DOG:Vehicle:a443c57b-edee-4e37-b834-94677c9c1b0b,dott_mannheim,2026-05-21 15:27:55+02,POINT (8.502757 49.499195)
DOG:Vehicle:cd899c1c-8540-48e2-917e-d9e6c04adf17,dott_mannheim,2026-05-21 15:27:58+02,POINT (8.489067 49.528435)
DOG:Vehicle:676b67a4-bca6-4aad-8853-0e1e836cfdf9,dott_mannheim,2026-05-21 15:28:17+02,POINT (8.468101 49.492394)
DOG:Vehicle:aeaf42d7-9c18-4574-a23f-8fb55ab0dccf,dott_mannheim,2026-05-21 15:28:19+02,POINT (8.460576 49.457706)
DOG:Vehicle:92219e75-dedd-4f99-ac81-668003368cb8,dott_mannheim,2026-05-21 15:28:25+02,POINT (8.481459 49.52544)
DOG:Vehicle:61db82ae-b58a-4642-acd8-dc3d0b813122,dott_mannheim,2026-05-21 15:28:31+02,POINT (8.466039 49.48613)
DOG:Vehicle:0301c1a7-9b7f-478c-be25-cc679d1e9301,dott_mannheim,2026-05-21 15:28:35+02,POINT (8.500817 49.507471)
DOG:Vehicle:fe48886a-6196-428c-a46e-c9594b0a42d8,dott_mannheim,2026-05-21 15:28:36+02,POINT (8.501369 49.461015)
