_id,FID,feed_id,station_id,name,capacity,is_virtual_station,num_cars_available,num_bicycles_available,num_scooters_available,num_cargo_bicycles_available,num_mopeds_available,rental_uris_android,rental_uris_ios,rental_uris_web,last_reported,realtime_data_outdated,geometry,datastore_updated_at,lon,lat
38816319,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,1,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 20:02:44+02,f,POINT (8.482255 49.470261),2026-05-24 20:04:27+02,8.482255,49.470261
38816360,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,3,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 20:02:44+02,f,POINT (8.469749 49.47996),2026-05-24 20:04:27+02,8.469749,49.47996
38816366,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,2,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 20:02:44+02,f,POINT (8.482906 49.492344),2026-05-24 20:04:27+02,8.482906,49.492344
38816812,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,12,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 20:02:44+02,f,POINT (8.463303 49.48275),2026-05-24 20:04:27+02,8.463303,49.48275
38812105,sharing_stations.NBV:Station:339475,nextbike_vn,NBV:Station:339475,Hauptbahnhof Mannheim,60.0,f,,2,,,,https://app.nextbike.net/station?id=339475,https://app.nextbike.net/station?id=339475,https://nxtb.it/p/339475,2026-05-24 19:30:24+02,f,POINT (8.469749 49.47996),2026-05-24 19:33:25+02,8.469749,49.47996
38812111,sharing_stations.NBV:Station:7853258,nextbike_vn,NBV:Station:7853258,Universitätsklinik Mannheim,,f,,2,,,,https://app.nextbike.net/station?id=7853258,https://app.nextbike.net/station?id=7853258,https://nxtb.it/p/7853258,2026-05-24 19:30:24+02,f,POINT (8.482906 49.492344),2026-05-24 19:33:25+02,8.482906,49.492344
38812118,sharing_stations.NBV:Station:339478,nextbike_vn,NBV:Station:339478,Technische Hochschule Mannheim,10.0,f,,2,,,,https://app.nextbike.net/station?id=339478,https://app.nextbike.net/station?id=339478,https://nxtb.it/p/339478,2026-05-24 19:30:24+02,f,POINT (8.482255 49.470261),2026-05-24 19:33:25+02,8.482255,49.470261
38812150,sharing_stations.NBV:Station:364019650,nextbike_vn,NBV:Station:364019650,Lindenhofplatz / HBF Süd,,f,,22,,,,https://app.nextbike.net/station?id=364019650,https://app.nextbike.net/station?id=364019650,https://nxtb.it/p/364019650,2026-05-24 19:30:24+02,f,POINT (8.467814 49.477839),2026-05-24 19:33:25+02,8.467814,49.477839
38812366,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,27,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 19:30:24+02,f,POINT (8.463303 49.48275),2026-05-24 19:33:25+02,8.463303,49.48275
38808697,sharing_stations.NBV:Station:660951,nextbike_vn,NBV:Station:660951,Universität Schloss,10.0,f,,40,,,,https://app.nextbike.net/station?id=660951,https://app.nextbike.net/station?id=660951,https://nxtb.it/p/660951,2026-05-24 18:58:24+02,f,POINT (8.463303 49.48275),2026-05-24 19:01:41+02,8.463303,49.48275
